,Unnamed: 0,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
1,1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
2,2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
4,4,4,Charmander,Fire,Fire,309,39,52,43,60,50,65,1,FALSE
5,5,5,Charmeleon,Fire,Fire,405,58,64,58,80,65,80,1,FALSE
6,6,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
9,9,7,Squirtle,Water,Water,314,44,48,65,50,64,43,1,FALSE
10,10,8,Wartortle,Water,Water,405,59,63,80,65,80,58,1,FALSE
11,11,9,Blastoise,Water,Water,530,79,83,100,85,105,78,1,FALSE
13,13,10,Caterpie,Bug,Bug,195,45,30,35,20,20,45,1,FALSE
14,14,11,Metapod,Bug,Bug,205,50,20,55,25,25,30,1,FALSE
15,15,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
16,16,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
17,17,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
18,18,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
20,20,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
21,21,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE
22,22,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
24,24,19,Rattata,Normal,Normal,253,30,56,35,25,35,72,1,FALSE
25,25,20,Raticate,Normal,Normal,413,55,81,60,50,70,97,1,FALSE
26,26,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
27,27,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE
28,28,23,Ekans,Poison,Poison,288,35,60,44,40,54,55,1,FALSE
29,29,24,Arbok,Poison,Poison,438,60,85,69,65,79,80,1,FALSE
30,30,25,Pikachu,Electric,Electric,320,35,55,40,50,50,90,1,FALSE
31,31,26,Raichu,Electric,Electric,485,60,90,55,90,80,110,1,FALSE
32,32,27,Sandshrew,Ground,Ground,300,50,75,85,20,30,40,1,FALSE
33,33,28,Sandslash,Ground,Ground,450,75,100,110,45,55,65,1,FALSE
34,34,29,Nidoran ?,Poison,Poison,275,55,47,52,40,40,41,1,FALSE
35,35,30,Nidorina,Poison,Poison,365,70,62,67,55,55,56,1,FALSE
36,36,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
37,37,32,Nidoran♂,Poison,Poison,273,46,57,40,40,40,50,1,FALSE
38,38,33,Nidorino,Poison,Poison,365,61,72,57,55,55,65,1,FALSE
39,39,34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
40,40,35,Clefairy,Fairy,Fairy,323,70,45,48,60,65,35,1,FALSE
41,41,36,Clefable,Fairy,Fairy,483,95,70,73,95,90,60,1,FALSE
42,42,37,Vulpix,Fire,Fire,299,38,41,40,50,65,65,1,FALSE
43,43,38,Ninetales,Fire,Fire,505,73,76,75,81,100,100,1,FALSE
44,44,39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE
45,45,40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
46,46,41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
47,47,42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE
48,48,43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
49,49,44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
50,50,45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
51,51,46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
52,52,47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
53,53,48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE
54,54,49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE
55,55,50,Diglett,Ground,Ground,265,10,55,25,35,45,95,1,FALSE
56,56,51,Dugtrio,Ground,Ground,405,35,80,50,50,70,120,1,FALSE
57,57,52,Meowth,Normal,Normal,290,40,45,35,40,40,90,1,FALSE
58,58,53,Persian,Normal,Normal,440,65,70,60,65,65,115,1,FALSE
59,59,54,Psyduck,Water,Water,320,50,52,48,65,50,55,1,FALSE
60,60,55,Golduck,Water,Water,500,80,82,78,95,80,85,1,FALSE
61,61,56,Mankey,Fighting,Fighting,305,40,80,35,35,45,70,1,FALSE
62,62,57,Primeape,Fighting,Fighting,455,65,105,60,60,70,95,1,FALSE
63,63,58,Growlithe,Fire,Fire,350,55,70,45,70,50,60,1,FALSE
64,64,59,Arcanine,Fire,Fire,555,90,110,80,100,80,95,1,FALSE
65,65,60,Poliwag,Water,Water,300,40,50,40,40,40,90,1,FALSE
66,66,61,Poliwhirl,Water,Water,385,65,65,65,50,50,90,1,FALSE
67,67,62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
