attack,base_total,defense,experience_growth,hp,name,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary
49,318,49,1059860,45,Bulbasaur,1,65,65,45,grass,poison,1,0
62,405,63,1059860,60,Ivysaur,2,80,80,60,grass,poison,1,0
100,625,123,1059860,80,Venusaur,3,122,120,80,grass,poison,1,0
52,309,43,1059860,39,Charmander,4,60,50,65,fire,fire,1,0
64,405,58,1059860,58,Charmeleon,5,80,65,80,fire,fire,1,0
104,634,78,1059860,78,Charizard,6,159,115,100,fire,flying,1,0
48,314,65,1059860,44,Squirtle,7,50,64,43,water,water,1,0
63,405,80,1059860,59,Wartortle,8,65,80,58,water,water,1,0
103,630,120,1059860,79,Blastoise,9,135,115,78,water,water,1,0
30,195,35,1000000,45,Caterpie,10,20,20,45,bug,bug,1,0
20,205,55,1000000,50,Metapod,11,25,25,30,bug,bug,1,0
45,395,50,1000000,60,Butterfree,12,90,80,70,bug,flying,1,0
35,195,30,1000000,40,Weedle,13,20,20,50,bug,poison,1,0
25,205,50,1000000,45,Kakuna,14,25,25,35,bug,poison,1,0
150,495,40,1000000,65,Beedrill,15,15,80,145,bug,poison,1,0
45,251,40,1059860,40,Pidgey,16,35,35,56,normal,flying,1,0
60,349,55,1059860,63,Pidgeotto,17,50,50,71,normal,flying,1,0
80,579,80,1059860,83,Pidgeot,18,135,80,121,normal,flying,1,0
56,253,35,1000000,30,Rattata,19,25,35,72,normal,dark,1,0
71,413,70,1000000,75,Raticate,20,40,80,77,normal,dark,1,0
60,262,30,1000000,40,Spearow,21,31,31,70,normal,flying,1,0
90,442,65,1000000,65,Fearow,22,61,61,100,normal,flying,1,0
60,288,44,1000000,35,Ekans,23,40,54,55,poison,poison,1,0
95,448,69,1000000,60,Arbok,24,65,79,80,poison,poison,1,0
55,320,40,1000000,35,Pikachu,25,50,50,90,electric,electric,1,0
85,485,50,1000000,60,Raichu,26,95,85,110,electric,electric,1,0
75,300,90,1000000,50,Sandshrew,27,10,35,40,ground,ice,1,0
100,450,120,1000000,75,Sandslash,28,25,65,65,ground,ice,1,0
47,275,52,1059860,55,Nidoran,29,40,40,41,poison,poison,1,0
62,365,67,1059860,70,Nidorina,30,55,55,56,poison,poison,1,0
92,505,87,1059860,90,Nidoqueen,31,75,85,76,poison,ground,1,0
57,273,40,1059860,46,Nidoran,32,40,40,50,poison,poison,1,0
72,365,57,1059860,61,Nidorino,33,55,55,65,poison,poison,1,0
102,505,77,1059860,81,Nidoking,34,85,75,85,poison,ground,1,0
45,323,48,800000,70,Clefairy,35,60,65,35,fairy,fairy,1,0
70,483,73,800000,95,Clefable,36,95,90,60,fairy,fairy,1,0
41,299,40,1000000,38,Vulpix,37,50,65,65,fire,ice,1,0
67,505,75,1000000,73,Ninetales,38,81,100,109,fire,ice,1,0
45,270,20,800000,115,Jigglypuff,39,45,25,20,normal,fairy,1,0
70,435,45,800000,140,Wigglytuff,40,85,50,45,normal,fairy,1,0
45,245,35,1000000,40,Zubat,41,30,40,55,poison,flying,1,0
80,455,70,1000000,75,Golbat,42,65,75,90,poison,flying,1,0
50,320,55,1059860,45,Oddish,43,75,65,30,grass,poison,1,0
65,395,70,1059860,60,Gloom,44,85,75,40,grass,poison,1,0
80,490,85,1059860,75,Vileplume,45,110,90,50,grass,poison,1,0
70,285,55,1000000,35,Paras,46,45,55,25,bug,grass,1,0
95,405,80,1000000,60,Parasect,47,60,80,30,bug,grass,1,0
55,305,50,1000000,60,Venonat,48,40,55,45,bug,poison,1,0
65,450,60,1000000,70,Venomoth,49,90,75,90,bug,poison,1,0
55,265,30,1000000,10,Diglett,50,35,45,90,ground,ground,1,0
100,425,60,1000000,35,Dugtrio,51,50,70,110,ground,ground,1,0
35,290,35,1000000,40,Meowth,52,50,40,90,normal,dark,1,0
60,440,60,1000000,65,Persian,53,75,65,115,normal,dark,1,0
52,320,48,1000000,50,Psyduck,54,65,50,55,water,water,1,0
82,500,78,1000000,80,Golduck,55,95,80,85,water,water,1,0
80,305,35,1000000,40,Mankey,56,35,45,70,fighting,fighting,1,0
105,455,60,1000000,65,Primeape,57,60,70,95,fighting,fighting,1,0
70,350,45,1250000,55,Growlithe,58,70,50,60,fire,fire,1,0
110,555,80,1250000,90,Arcanine,59,100,80,95,fire,fire,1,0
50,300,40,1059860,40,Poliwag,60,40,40,90,water,water,1,0
65,385,65,1059860,65,Poliwhirl,61,50,50,90,water,water,1,0
95,510,95,1059860,90,Poliwrath,62,70,90,70,water,fighting,1,0
20,310,15,1059860,25,Abra,63,105,55,90,psychic,psychic,1,0
35,400,30,1059860,40,Kadabra,64,120,70,105,psychic,psychic,1,0
50,600,65,1059860,55,Alakazam,65,175,105,150,psychic,psychic,1,0
80,305,50,1059860,70,Machop,66,35,35,35,fighting,fighting,1,0
100,405,70,1059860,80,Machoke,67,50,60,45,fighting,fighting,1,0
130,505,80,1059860,90,Machamp,68,65,85,55,fighting,fighting,1,0
75,300,35,1059860,50,Bellsprout,69,70,30,40,grass,poison,1,0
90,390,50,1059860,65,Weepinbell,70,85,45,55,grass,poison,1,0
105,490,65,1059860,80,Victreebel,71,100,70,70,grass,poison,1,0
40,335,35,1250000,40,Tentacool,72,50,100,70,water,poison,1,0
70,515,65,1250000,80,Tentacruel,73,80,120,100,water,poison,1,0
80,300,100,1059860,40,Geodude,74,30,30,20,rock,ground,1,0
95,390,115,1059860,55,Graveler,75,45,45,35,rock,ground,1,0
120,495,130,1059860,80,Golem,76,55,65,45,rock,ground,1,0
85,410,55,1000000,50,Ponyta,77,65,65,90,fire,fire,1,0
100,500,70,1000000,65,Rapidash,78,80,80,105,fire,fire,1,0
65,315,65,1000000,90,Slowpoke,79,40,40,15,water,psychic,1,0
75,590,180,1000000,95,Slowbro,80,130,80,30,water,psychic,1,0
35,325,70,1000000,25,Magnemite,81,95,55,45,electric,steel,1,0
60,465,95,1000000,50,Magneton,82,120,70,70,electric,steel,1,0
90,377,55,1000000,52,Farfetch'd,83,58,62,60,normal,flying,1,0
85,310,45,1000000,35,Doduo,84,35,35,75,normal,flying,1,0
110,470,70,1000000,60,Dodrio,85,60,60,110,normal,flying,1,0
45,325,55,1000000,65,Seel,86,45,70,45,water,water,1,0
70,475,80,1000000,90,Dewgong,87,70,95,70,water,ice,1,0
80,325,50,1000000,80,Grimer,88,40,50,25,poison,poison,1,0
105,500,75,1000000,105,Muk,89,65,100,50,poison,poison,1,0
65,305,100,1250000,30,Shellder,90,45,25,40,water,water,1,0
95,525,180,1250000,50,Cloyster,91,85,45,70,water,ice,1,0
35,310,30,1059860,30,Gastly,92,100,35,80,ghost,poison,1,0
50,405,45,1059860,45,Haunter,93,115,55,95,ghost,poison,1,0
65,600,80,1059860,60,Gengar,94,170,95,130,ghost,poison,1,0
45,385,160,1000000,35,Onix,95,30,45,70,rock,ground,1,0
48,328,45,1000000,60,Drowzee,96,43,90,42,psychic,psychic,1,0
73,483,70,1000000,85,Hypno,97,73,115,67,psychic,psychic,1,0
105,325,90,1000000,30,Krabby,98,25,25,50,water,water,1,0
130,475,115,1000000,55,Kingler,99,50,50,75,water,water,1,0
30,330,50,1000000,40,Voltorb,100,55,55,100,electric,electric,1,0
50,490,70,1000000,60,Electrode,101,80,80,150,electric,electric,1,0
40,325,80,1250000,60,Exeggcute,102,60,45,40,grass,psychic,1,0
105,530,85,1250000,95,Exeggutor,103,125,75,45,grass,psychic,1,0
50,320,95,1000000,50,Cubone,104,40,50,35,ground,ground,1,0
80,425,110,1000000,60,Marowak,105,50,80,45,ground,fire,1,0
120,455,53,1000000,50,Hitmonlee,106,35,110,87,fighting,fighting,1,0
105,455,79,1000000,50,Hitmonchan,107,35,110,76,fighting,fighting,1,0
55,385,75,1000000,90,Lickitung,108,60,75,30,normal,normal,1,0
65,340,95,1000000,40,Koffing,109,60,45,35,poison,poison,1,0
90,490,120,1000000,65,Weezing,110,85,70,60,poison,poison,1,0
85,345,95,1250000,80,Rhyhorn,111,30,30,25,ground,rock,1,0
130,485,120,1250000,105,Rhydon,112,45,45,40,ground,rock,1,0
5,450,5,800000,250,Chansey,113,35,105,50,normal,normal,1,0
55,435,115,1000000,65,Tangela,114,100,40,60,grass,grass,1,0
125,590,100,1000000,105,Kangaskhan,115,60,100,100,normal,normal,1,0
40,295,70,1000000,30,Horsea,116,70,25,60,water,water,1,0
